"TAB_MEASURE_LABEL","n"
"Logements – Résidences principales",1503298
"Population",1336415
"Logements",798681
"Nombre de décès",751080
"Nombre de nouveaux établissements enregistrés",562361
"Nombre de nouvelles unités légales enregistrées",554344
"Population – 15 ans ou plus",542844
"Nombre de nouvelles unités légales enregistrées – Entrepreneur individuel",537244
"Population – De 15 à 24 ans ",496794
"Logements – Logements vacants",492506
"Logements – Résidences secondaires et logements occasionnels",490084
"Population – De 15 à 64 ans x Actif occupé",459322
"Population – De 55 à 64 ans",459152
"Population – De 15 à 64 ans x Chômeur",454117
"Nombre de naissances vivantes",418240
"Population – De 40 à 54 ans",417457
"Population – De 65 à 79 ans",417392
"Population – De 25 à 39 ans",416981
"Population – 80 ans ou plus",415633
"Nombre d’emplois",414210
"Population – De 20 à 64 ans",334066
"Population – 65 ans ou plus",334022
"Population – Moins de 20 ans",333592
"Nombre de naissances",331353
"Nombre de nouvelles unités légales enregistrées – Société par actions simplifiée",303226
"Nombre de nouvelles unités légales enregistrées – Société à responsabilité limitée (SARL)",297272
"Population – Moins de 15 ans",291670
"Population – De 6 à 10 ans",250620
"Population – Inscrit x De 11 à 14 ans",250620
"Population – Inscrit x De 15 à 17 ans",250620
"Population – Baccalauréat, brevet professionnel ou équivalent",250620
"Population – Inscrit x De 18 à 24 ans",250620
"Population – De 18 à 24 ans",250620
"Population – Inscrit x 30 ans ou plus",250620
"Population – 30 ans ou plus",250620
"Population – De 15 à 17 ans",250620
"Population – CAP, BEP ou diplôme de niveau équivalent",250620
"Population – Inscrit x De 25 à 29 ans",250620
"Population – Inscrit x De 2 à 5 ans",250620
"Population – De 25 à 29 ans",250620
"Population – De 2 à 5 ans",250620
"Population – Inscrit x De 6 à 10 ans",250620
"Population – De 11 à 14 ans",250620
"Population des ménages – Résidences principales",250554
"Nombre de pièces – Résidences principales",250554
"Logements – Résidences principales x Avant 1919",249768
"Logements – Résidences principales x De 1971 à 1990",249135
"Logements – Résidences principales x De 1991 à 2005",247653
"Logements – Résidences principales x De 1946 à 1970",247059
"Logements – Résidences principales x De 1919 à 1945",246792
"Logements – Résidences principales x De 2006 à AAAA",245985
"Population – De 15 à 64 ans",208791
"Population – 15 ans ou plus x Retraités",207979
"Population – 15 ans ou plus x Employés",203392
"Population – 15 ans ou plus x Ouvriers",202975
"Nombre d’emplois – Salariés",202102
"Population – 15 ans ou plus x Professions intermédiaires",201265
"Population – 15 ans ou plus x Cadres et professions intellectuelles supérieures",183306
"Population – 15 ans ou plus x Artisans, commerçants et chefs d’entreprise",182285
"Établissements",167244
"Population – Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme",167080
"Population – BEPC, brevet élémentaire, brevet des collèges, DNB",167080
"Population – Femme",167070
"Population – Homme",167070
"Population des ménages",167018
"Population – De 15 à 64 ans x Retraités ou préretraités",166072
"Population – De 15 à 64 ans x Élèves étudiants stagiaires non rémunéré de 14 ans ou plus",164394
"Nombre d’emplois – Non Salariés",163704
"Population – De 15 à 64 ans x Autres inactifs",162440
"Nombre d’emplois – Salariés x Femme",158023
"Population – De 15 à 64 ans x Femmes ou hommes au foyer",157916
"Population – 15 ans ou plus x Agriculteurs",156049
"Nombre d’emplois – Non Salariés x Femme",151773
"Nombre d’emplois – Ouvriers",141772
"Nombre de nouvelles unités légales enregistrées – Autres sociétés",140652
"Nombre d’emplois – Employés",140530
"Nombre d’emplois – Artisans, commerçants et chefs d’entreprise",134121
"Nombre d’emplois – Professions intermédiaires",130668
"Établissements – Construction",125431
"Établissements – Administration publique, enseignement, santé humaine et action sociale",125431
"Établissements – Industrie manufacturière, industries extractives et autres",125431
"Population – De 2 à 5 ans x Femme",125310
"Population – De 11 à 14 ans x Homme",125310
"Population – Inscrit x De 18 à 24 ans x Homme",125310
"Population – 30 ans ou plus x Femme",125310
"Population – Baccalauréat, brevet professionnel ou équivalent x Homme",125310
"Population – Inscrit x De 6 à 10 ans x Femme",125310
"Population – Inscrit x De 11 à 14 ans x Homme",125310
"Population – Inscrit x De 15 à 17 ans x Homme",125310
"Population – Baccalauréat, brevet professionnel ou équivalent x Femme",125310
"Population – CAP, BEP ou diplôme de niveau équivalent x Homme",125310
"Population – CAP, BEP ou diplôme de niveau équivalent x Femme",125310
"Population – Inscrit x 30 ans ou plus x Homme",125310
"Population – Inscrit x De 25 à 29 ans x Femme",125310
"Population – Inscrit x De 2 à 5 ans x Homme",125310
"Population – Inscrit x De 15 à 17 ans x Femme",125310
"Population – Inscrit x De 25 à 29 ans x Homme",125310
"Population – Inscrit x De 2 à 5 ans x Femme",125310
"Population – Inscrit x De 11 à 14 ans x Femme",125310
"Population – Inscrit x De 18 à 24 ans x Femme",125310
"Population – 30 ans ou plus x Homme",125310
"Population – Inscrit x 30 ans ou plus x Femme",125310
"Population – De 25 à 29 ans x Femme",125310
"Population – De 15 à 17 ans x Femme",125310
"Population – De 2 à 5 ans x Homme",125310
"Population – De 18 à 24 ans x Femme",125310
"Population – De 25 à 29 ans x Homme",125310
"Population – De 11 à 14 ans x Femme",125310
"Population – De 6 à 10 ans x Homme",125310
"Population – De 18 à 24 ans x Homme",125310
"Population – De 6 à 10 ans x Femme",125310
"Population – De 15 à 17 ans x Homme",125310
"Population – Inscrit x De 6 à 10 ans x Homme",125310
"Logements – Occupation dans la norme",125285
"Logements – Suroccupation modérée",125285
"Logements – Sous-occupation accentuée",125285
"Logements – Sous-occupation très accentuée",125285
"Logements – Sous-occupation modérée",125285
"Logements – Suroccupation accentuée",125285
"Logements – Maison",125280
"Logements – Résidences principales x Maison",125277
"Population – 1 an ou plus",125277
"Nombre de pièces – Résidences principales x Maison",125277
"Population – 15 ans ou plus x Actif occupé",125271
"Population – 1 an ou plus x Dans le même logement",125270
"Population des ménages – Résidences principales x Propriétaire",125268
"Logements – Résidences principales x Propriétaire",125268
"Logements – Résidences principales x Ménage disposant d’une seule voiture",125265
"Population – 15 ans ou plus x Femme",125260
"Nombre d’emplois – Agriculteurs",125255
"Logements – Résidences principales x 5 pièces ou plus",125252
"Population – Dans une autre commune",125248
"Logements – Résidences principales x Oui",125246
"Logements – Résidences principales x Ménage disposant de deux voitures ou plus",125246
"Nombre de famille",125199
"Population des ménages – Ménage comprenant une famille",125199
"Logements – Ménage comprenant une famille",125199
"Logements – Résidences principales x 30 ans ou plus",125174
"Nombre de pièces – Résidences principales x 30 ans ou plus",125174
"Population des ménages – Résidences principales x 30 ans ou plus",125174
"Logements – Résidences principales x 4 pièces",125159
"Population – De 40 à 54 ans x Oui",125125
"Population – Actif",125094
"Nombre de pièces – Résidences principales x De 10 à 19 ans",125089
"Population des ménages – Résidences principales x De 10 à 19 ans",125089
"Logements – Résidences principales x De 10 à 19 ans",125089
"Population – De 55 à 64 ans x Oui",125083
"Population – Actif occupé",125031
"Population – De 65 à 79 ans x Oui",125028
"Population – Dans la commune de résidence actuelle",124997
"Logements – Résidences principales x Non",124989
"Nombre de famille – Aucun enfant de moins de 24 ans",124875
"Nombre de pièces – Résidences principales x De 5 à 9 ans",124852
"Population des ménages – Résidences principales x De 5 à 9 ans",124852
"Logements – Résidences principales x De 5 à 9 ans",124852
"Population des ménages – Ménage à une personne",124787
"Logements – Ménage à une personne",124787
"Logements – Résidences principales x De 20 à 29 ans",124758
"Nombre de pièces – Résidences principales x De 20 à 29 ans",124758
"Population des ménages – Résidences principales x De 20 à 29 ans",124758
"Population – De 25 à 39 ans x Oui",124748
"Population des ménages – Résidences principales x De 2 à 4 ans",124721
"Nombre de pièces – Résidences principales x De 2 à 4 ans",124721
"Logements – Résidences principales x De 2 à 4 ans",124721
"Nombre de famille – Famille comprenant un couple sans enfant résident",124633
"Logements – Famille principale couple sans enfants",124632
"Population des ménages – Famille principale couple sans enfants",124632
"Population – De 15 à 24 ans  x Non",124572
"Logements – Résidences principales x 3 pièces",124540
"Logements – Résidences principales x Autres (bois, solaire, géothermie, etc.)",124510
"Population des ménages – Résidences principales x Locataire de logement parc privé vide",124504
"Logements – Résidences principales x Locataire de logement parc privé vide",124504
"Population – De 65 à 79 ans x Non",124476
"Population – De 40 à 54 ans x Non",124426
"Population – 15 ans ou plus x Salariés x Temps partiel x Femme",124377
"Nombre de famille – Famille comprenant un couple avec enfant résident",124032
"Population des ménages – Famille principale couple avec enfants",124024
"Logements – Famille principale couple avec enfants",124024
"Nombre de personnes seules – 1 personne x De 65 à 79 ans",123979
"Population – 15 ans ou plus x Chômeur",123897
"Population – De 55 à 64 ans x Non",123873
"Logements – Résidences principales x Fioul (mazout)",123844
"Logements – Résidences principales x Electricité",123771
"Population – De 25 à 39 ans x Non",123697
"Population – 80 ans ou plus x Non",123554
"Nombre de pièces – Résidences principales x Moins de 2 ans",123278
"Logements – Résidences principales x Moins de 2 ans",123278
"Population des ménages – Résidences principales x Moins de 2 ans",123278
"Logements – Résidences principales x Ménage ne disposant d’aucune voiture",122622
"Nombre de personnes seules – 1 personne x De 55 à 64 ans",122576
"Nombre de personnes seules – 1 personne x 80 ans ou plus",122413
"Population – Actif x Employés",122220
"Population – Actif x Ouvriers",121950
"Nombre de personnes seules – 1 personne x De 40 à 54 ans",121912
"Population – Actif occupé x Employés",121427
"Population – Dans une autre commune x De 25 à 54 ans",121401
"Population – Actif occupé x Ouvriers",121049
"Population – Actif x Professions intermédiaires",120722
"Population – 80 ans ou plus x Oui",120246
"Population des ménages – Homme seul",120184
"Logements – Homme seul",120184
"Population – Actif occupé x Professions intermédiaires",120089
"Population – 1 an ou plus x Autre commune du département",120021
"Population – 15 ans ou plus x Autres inactifs",119943
"Logements – Femme seule",119763
"Population des ménages – Femme seule",119763
"Nombre d’emplois – Salariés x Temps partiel",119500
"Nombre de famille – 2 enfants de moins de 24 ans",119480
"Nombre de famille – 1 enfant de moins de 24 ans",119199
"Population – 15 ans ou plus x Salariés x Temps partiel x Homme",117075
"Logements – Résidences principales x 2 pièces",116868
"Nombre de personnes seules – 1 personne x De 25 à 39 ans",116249
"Logements – Résidences principales x Gaz en bouteilles ou en citerne",115450
"Population des ménages – Résidences principales x Logé gratuitement",114712
"Logements – Résidences principales x Logé gratuitement",114712
"Population – Dans une autre commune x De 1 à 14 ans",111496
"Logements – Appartement",111287
"Population – Dans une autre commune x De 15 à 24 ans ",110297
"Population – Actif x Cadres et professions intellectuelles supérieures",109219
"Population – De 15 à 24 ans  x Oui",109169
"Nombre d’emplois – Services principalement marchands",108911
"Population – Actif x Artisans, commerçants et chefs d’entreprise",108855
"Nombre d’emplois – Cadres et professions intellectuelles supérieures",108685
"Logements – Résidences principales x Appartement",108681
"Nombre de pièces – Résidences principales x Appartement",108681
"Population – Actif occupé x Cadres et professions intellectuelles supérieures",108370
"Population des ménages – Famille principale monoparentale",108015
"Logements – Famille principale monoparentale",108015
"Population – Actif occupé x Artisans, commerçants et chefs d’entreprise",107979
"Nombre d’emplois – Administration publique, enseignement, santé humaine et action sociale",105813
"Population – Dans une autre commune x 55 ans ou plus",105656
"Population – 1 an ou plus x Hors de la région en métropole",104964
"Nombre d’emplois – Non Salariés x Temps partiel",104348
"Nombre d’emplois – Agriculture, sylviculture et pêche",103009
"Population – 1 an ou plus x Autre logement dans la même commune",102763
"Nombre de famille – 3 enfants de moins de 24 ans",102469
"Nombre de famille – Famille avec une mère seule",102334
"Population – Autre logement dans la même commune x De 25 à 54 ans",95514
"Population – Actif x Agriculteurs",93939
"Population – Actif occupé x Agriculteurs",93545
"Population – 1 an ou plus x Autre département de la région",92814
"Nombre d’emplois – Construction",91918
"Logements – Résidences principales x Locataire de logement meublé",85986
"Population des ménages – Résidences principales x Locataire de logement meublé",85986
"Établissements – 0 salarié",83626
"Établissements – 1 à 4 salariés",83626
"Établissements – Agriculture, sylviculture et pêche",83626
"Établissements – 100 à 199 salariés",83626
"Établissements – 10 à 19 salariés",83626
"Établissements – Services principalement marchands",83626
"Établissements – 20 à 49 salariés",83626
"Établissements – 50 à 99 salariés",83626
"Établissements – 200 à 499 salariés",83626
"Établissements – 500 salariés et plus",83626
"Établissements – 5 à 9 salariés",83626
"Population – Aucun diplôme ou certificat d'études primaires",83540
"Population – Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme x Homme",83540
"Population – BEPC, brevet élémentaire, brevet des collèges, DNB x Homme",83540
"Population – BEPC, brevet élémentaire, brevet des collèges, DNB x Femme",83540
"Population – Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme x Femme",83540
"Population – De 20 à 64 ans x Homme",83516
"Population – 15 ans ou plus x Homme",83507
"Population – De 20 à 64 ans x Femme",83506
"Population – 65 ans ou plus x Homme",83492
"Population – 15 ans ou plus x Femme x Actif occupé",83488
"Population – 65 ans ou plus x Femme",83482
"Nombre de personnes seules – 1 personne x De 15 à 24 ans ",83406
"Population – De 55 à 64 ans x Homme",83398
"Population – De 55 à 64 ans x Femme",83386
"Population – De 25 à 54 ans",83372
"Logements – Résidences principales x Avant 1919 x Maison",83238
"Population – Moins de 20 ans x Homme",83210
"Population – Moins de 20 ans x Femme",83180
"Logements – Autres logements de métropole",83110
"Logements – Résidences principales x De 1971 à 1990 x Maison",82997
"Nombre d’emplois – Industrie manufacturière, industries extractives et autres",82948
"Logements – Résidences principales x Gaz de ville - réseau de chaleur",82607
"Population – De 15 à 24 ans  x Homme",82528
"Logements – Résidences principales x De 1991 à 2005 x Maison",82464
"Population – De 15 à 24 ans  x Femme",82220
"Logements – Résidences principales x De 1946 à 1970 x Maison",82215
"Logements – Résidences principales x De 1919 à 1945 x Maison",82028
"Logements – Résidences principales x 1 pièce",82006
"Logements – Résidences principales x De 2006 à AAAA x Maison",81879
"Population – 15 ans ou plus x Etudiants ou élèves",80882
"Nombre de famille – Famille avec un père seul",78908
"Population – Autre logement dans la même commune x De 1 à 14 ans",77862
"Logements – Ménage sans famille à plusieurs personnes ",75435
"Population des ménages – Ménage sans famille à plusieurs personnes ",75435
"Nombre de pièces – Résidences principales x Autres logements de métropole",73359
"Logements – Résidences principales x Autres logements de métropole",73359
"Logements – Résidences principales x Locataire de logement parc social vide",73092
"Population des ménages – Résidences principales x Locataire de logement parc social vide",73092
"Population – Autre logement dans la même commune x De 15 à 24 ans ",71893
"Population – Autre logement dans la même commune x 55 ans ou plus",71132
"Nombre d’électeurs – France x Élection municipale",70136
"Nombre de famille – 4 enfants ou plus de moins de 24 ans",70014
"Nombre d’emplois – Salariés x Administration publique, enseignement, santé humaine et action sociale",67700
"Nombre d’emplois – Salariés x Services principalement marchands",66762
"Population – 1 an ou plus x Hors métropole ou DOM",65519
"Logements – Résidences principales x Avant 1919 x Appartement",56688
"Logements – Résidences principales x De 1991 à 2005 x Appartement",52009
"Logements – Résidences principales x De 1946 à 1970 x Appartement",51519
"Logements – Résidences principales x De 1971 à 1990 x Appartement",51440
"Nombre d’emplois – Salariés x Construction",50604
"Nombre d’emplois – Salariés x Industrie manufacturière, industries extractives et autres",49960
"Salaire net EQTP mensuel moyen",49428
"Salaire net EQTP mensuel moyen – Femme",49428
"Salaire net EQTP mensuel moyen – Homme",49428
"Logements – Résidences principales x De 1919 à 1945 x Appartement",48668
"Logements – Résidences principales x De 2006 à AAAA x Appartement",46391
"Nombre d’emplois – Salariés x Agriculture, sylviculture et pêche",45574
"Établissements – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère productive",41813
"Effectifs présents la dernière semaine de décembre – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère productive",41813
"Établissements – Ensemble hors particuliers employeurs",41813
"Effectifs présents la dernière semaine de décembre – 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 200 à 499 salariés",41813
"Établissements – Services principalement marchands x 5 à 9 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 1 à 4 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 0 salarié",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 100 à 199 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 20 à 49 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – 200 à 499 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 500 salariés et plus",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 50 à 99 salariés",41813
"Établissements – Construction x 1 à 4 salariés",41813
"Établissements – Services principalement marchands x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 5 à 9 salariés",41813
"Établissements – Fonction Publique x Établissements appartenant à la sphère productive",41813
"Établissements – Agriculture, sylviculture et pêche x 50 à 99 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 200 à 499 salariés",41813
"Établissements – Construction x 5 à 9 salariés",41813
"Établissements – Services principalement marchands x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Ensemble hors particuliers employeurs",41813
"Établissements – Construction x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – 50 à 99 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 200 à 499 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 500 salariés et plus",41813
"Établissements – Agriculture, sylviculture et pêche x 10 à 19 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 200 à 499 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 100 à 199 salariés",41813
"Établissements – Construction x 0 salarié",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 100 à 199 salariés",41813
"Établissements – Construction x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Fonction Publique x Établissements appartenant à la sphère productive",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 10 à 19 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 100 à 199 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 10 à 19 salariés",41813
"Établissements – Services principalement marchands x 0 salarié",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 5 à 9 salariés",41813
"Établissements – Services principalement marchands x 500 salariés et plus",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Construction x 50 à 99 salariés",41813
"Établissements – Construction x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Fonction Publique x Établissements appartenant à la sphère présentielle",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 50 à 99 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – 20 à 49 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 50 à 99 salariés",41813
"Établissements – Construction x 100 à 199 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Construction",41813
"Établissements – Construction x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – 1 à 4 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 5 à 9 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 20 à 49 salariés",41813
"Établissements – Construction x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 1 à 4 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 100 à 199 salariés",41813
"Établissements – Services principalement marchands x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 20 à 49 salariés",41813
"Établissements – Services principalement marchands x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère présentielle",41813
"Établissements – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère présentielle",41813
"Établissements – Services principalement marchands x 1 à 4 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 0 salarié",41813
"Établissements – Services principalement marchands x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 20 à 49 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 10 à 19 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale",41813
"Effectifs présents la dernière semaine de décembre – Construction x 200 à 499 salariés",41813
"Établissements – Fonction Publique x Établissements appartenant à la sphère présentielle",41813
"Établissements – Agriculture, sylviculture et pêche x 0 salarié",41813
"Nombre d'unités légales",41805
"Nombre d'unités légales – Industrie manufacturière, industries extractives et autres",41805
"Nombre d'unités légales – Activités immobilières",41805
"Nombre d'unités légales – Activités financières et d'assurance",41805
"Nombre d'unités légales – Commerce de gros et de détail, transports, hébergement et restauration",41805
