"TAB_MEASURE_LABEL","n"
"Établissements – Autres activités de services",41805
"Établissements – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",41805
"Établissements – Information et communication",41805
"Établissements – Activités financières et d'assurance",41805
"Établissements – Activités immobilières",41805
"Nombre d'unités légales – Autres activités de services",41805
"Nombre d'unités légales – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",41805
"Établissements – Commerce de gros et de détail, transports, hébergement et restauration",41805
"Nombre d'unités légales – Information et communication",41805
"Nombre d'unités légales – Construction",41805
"Nombre d'unités légales – Administration publique, enseignement, santé humaine et action sociale",41805
"Population – Aucun diplôme ou BEPC, brevet des collèges, DNB x Femme",41770
"Établissements – Hôtels et hébergement similaire x 1 étoile",41770
"Établissements – Hôtels et hébergement similaire x Non classé",41770
"Nombre de places – Hôtels et hébergement similaire x 1 étoile",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x Non classé",41770
"Nombre de place-lits – Hébergement touristique et autre hébergement de courte durée",41770
"Population – Diplôme d'études supérieures x Homme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs",41770
"Population – Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4",41770
"Établissements – Villages vacances et maisons familiales",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 3 étoiles",41770
"Population – Diplôme universitaire 2e ou 3e cycle",41770
"Population – Diplôme universitaire 2e ou 3e cycle x Homme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 3 étoiles",41770
"Établissements – Hébergement touristique et autre hébergement de courte durée",41770
"Population – Aucun diplôme x Homme",41770
"Établissements – Hôtels et hébergement similaire x 2 étoiles",41770
"Superficie",41770
"Nombre de place-lits – Auberges de jeunesse et centres sportifs",41770
"Nombre de places – Hôtels et hébergement similaire x 4 étoiles",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 1 étoile",41770
"Population – Aucun diplôme ou certificat d'études primaires x Femme",41770
"Nombre de places – Hôtels et hébergement similaire x 5 étoiles",41770
"Population – Diplôme d'études supérieures x Femme",41770
"Population – Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4 x Femme",41770
"Établissements – Hôtels et hébergement similaire x 3 étoiles",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 5 étoiles",41770
"Nombre de places – Hôtels et hébergement similaire x 3 étoiles",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 5 étoiles",41770
"Établissements – Auberges de jeunesse et centres sportifs",41770
"Population – Aucun diplôme ou certificat d'études primaires x Homme",41770
"Population – Aucun diplôme",41770
"Établissements – Hôtels et hébergement similaire x 5 étoiles",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs",41770
"Population – Aucun diplôme ou BEPC, brevet des collèges, DNB",41770
"Population – Aucun diplôme ou BEPC, brevet des collèges, DNB x Homme",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 2 étoiles",41770
"Nombre de place-lits – Villages vacances et maisons familiales",41770
"Population – CEP (certificat d’études primaires)",41770
"Établissements – Hôtels et hébergement similaire",41770
"Population – Diplôme universitaire 2e ou 3e cycle x Femme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x Non classé",41770
"Population – Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4 x Homme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 2 étoiles",41770
"Nombre de place-lits – Résidences de tourisme – Résidences hôtelières",41770
"Population – Diplôme de niveau bac + 5 ou plus x Homme",41770
"Établissements – Hôtels et hébergement similaire x 4 étoiles",41770
"Nombre de places – Hôtels et hébergement similaire x 2 étoiles",41770
"Nombre de places – Hôtels et hébergement similaire",41770
"Population – Diplôme d'études supérieures",41770
"Population – CEP (certificat d’études primaires) x Femme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 1 étoile",41770
"Établissements – Résidences de tourisme – Résidences hôtelières",41770
"Population – Diplôme de niveau bac + 5 ou plus",41770
"Population – CEP (certificat d’études primaires) x Homme",41770
"Population – Aucun diplôme x Femme",41770
"Nombre de places – Hôtels et hébergement similaire x Non classé",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 4 étoiles",41770
"Population – Diplôme de niveau bac + 5 ou plus x Femme",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 4 étoiles",41770
"Établissements – Accueil de jeunes enfants",41768
"Établissements – Aide à domicile ; Accueil de jeunes enfants ; Activités des ménages en tant qu'employeurs de personnel domestique",41768
"Établissements – Aide à domicile et Activités des ménages en tant qu'employeurs de personnel domestique",41768
"Population – De 15 à 64 ans x Homme",41758
"Population – 15 ans ou plus x Homme x Actif occupé",41755
"Population – 15 ans ou plus x Marié",41755
"Population – De 15 à 64 ans x Actif occupé x Homme",41754
"Population – Voiture, camion ou fourgonnette",41754
"Population – De 15 à 64 ans x Femme",41754
"Population – 15 ans ou plus x Salariés",41750
"Population – 15 ans ou plus x Célibataire",41749
"Population – De 25 à 54 ans x Actif occupé",41748
"Population des ménages – De 65 à 79 ans",41747
"Population des ménages – De 55 à 64 ans",41746
"Population – De 15 à 64 ans x Actif occupé x Femme",41744
"Population des ménages – De 40 à 54 ans",41743
"Population – De 25 à 54 ans x Homme",41742
"Population – De 25 à 54 ans x Femme",41741
"Population – De 25 à 54 ans x Actif occupé x Homme",41731
"Population – De 25 à 54 ans x Actif occupé x Femme",41729
"Population – 15 ans ou plus x Femme x Salariés",41728
"Population – 15 ans ou plus x Salariés x Femme",41728
"Population – Salariés x De 15 à 64 ans x Femme",41727
"Population – De 65 à 79 ans x Homme",41723
"Population – 15 ans ou plus x Homme x Salariés",41722
"Population – Salariés x De 15 à 64 ans x Homme",41721
"Population – 55 ans ou plus",41714
"Population – 15 ans ou plus x Femme x Emploi à durée indéterminée (CDI, fonctionnaires)",41711
"Population – De 65 à 79 ans x Femme",41710
"Population – De 40 à 54 ans x Homme",41708
"Population – 15 ans ou plus x Non Salariés",41705
"Population des ménages – De 25 à 39 ans",41698
"Population – Salariés x De 25 à 54 ans x Femme",41698
"Population – 15 ans ou plus x Homme x Emploi à durée indéterminée (CDI, fonctionnaires)",41694
"Population – De 15 à 64 ans x Actif occupé x CAP, BEP ou diplôme de niveau équivalent",41686
"Population – De 40 à 54 ans x Femme",41684
"Population – De 15 à 64 ans x Actif occupé x Baccalauréat, brevet professionnel ou équivalent",41682
"Population – Salariés x De 25 à 54 ans x Homme",41670
"Population – De 55 à 64 ans x Actif occupé",41664
"Population – 15 ans ou plus x Homme x Non Salariés",41657
"Population – 15 ans ou plus x Temps partiel",41637
"Population – De 25 à 39 ans x Homme",41626
"Population – De 25 à 39 ans x Femme",41606
"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie",41599
"Niveau de vie médian (en euros)",41599
"Population – 55 ans ou plus x Retraités",41597
"Population – 15 ans ou plus x En concubinage, union libre",41586
"Population – 15 ans ou plus x Veuf",41581
"Population des ménages – 80 ans ou plus",41569
"Population des ménages – De 15 à 24 ans ",41562
"Population – 15 ans ou plus x Salariés x Temps partiel",41551
"Population – De 15 à 64 ans x Actif occupé x Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme",41528
"Population – Moins de 15 ans x Homme",41511
"Population – De 55 à 64 ans x Actif occupé x Homme",41491
"Population – Moins de 15 ans x Femme",41480
"Nombre de personnes seules – De 65 à 79 ans",41451
"Population – 15 ans ou plus x Divorcé",41403
"Population – De 55 à 64 ans x Actif occupé x Femme",41364
"Population – Salariés x De 15 à 64 ans x Femme x Temps partiel",41362
"Population – 80 ans ou plus x Femme",41301
"Population – 15 ans ou plus x Homme x Indépendants",41294
"Population – 15 ans ou plus x Retraités x Homme",41274
"Population – 15 ans ou plus x Retraités x Femme",41234
"Population – De 15 à 64 ans x Actif occupé x Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4",41218
"Population – 15 ans ou plus x Femme x Non Salariés",41160
"Population – 15 ans ou plus x Non Salariés x Femme",41160
"Nombre de personnes seules – De 55 à 64 ans",41082
"Population – Salariés x De 55 à 64 ans x Femme",41013
"Nombre de famille – Famille traditionnelle",40972
"Population – Salariés x De 25 à 54 ans x Femme x Temps partiel",40961
"Nombre de personnes seules – 80 ans ou plus",40899
"Population – 80 ans ou plus x Homme",40872
"Population – Salariés x De 55 à 64 ans x Homme",40816
"Population – Pas de transport",40771
"Population – De 15 à 24 ans  x Actif occupé",40762
"Nombre de personnes seules – De 40 à 54 ans",40746
"Population – De 15 à 64 ans x Actif occupé x Aucun diplôme ou certificat d'études primaires",40706
"Population – 15 ans ou plus x Homme x Employeurs",40705
"Population – De 15 à 64 ans x Actif occupé x Diplôme de niveau bac + 5 ou plus",40691
"Population – 15 ans ou plus x Pacsé",40681
"Population – De 25 à 54 ans x Chômeur",40589
"Population – 15 ans ou plus x Femme x Indépendants",40444
"Population – De 15 à 64 ans x Chômeur x Femme",40302
"Population – 15 ans ou plus x Employés x Femme",40240
"Population – 15 ans ou plus x Ouvriers x Homme",40111
"Population – De 15 à 64 ans x Chômeur x Homme",40100
"Population – 15 ans ou plus x Femme x Contrat à durée déterminée (CDD)",40073
"Population – De 15 à 24 ans  x Actif occupé x Homme",39899
"Population – De 15 à 64 ans x Actif occupé x BEPC, brevet élémentaire, brevet des collèges, DNB",39816
"Population – De 25 à 54 ans x Employés",39764
"Population – De 25 à 54 ans x Ouvriers",39573
"Population – Salariés x De 15 à 24 ans  x Homme",39553
"Logements – Personne référence du ménage x Ouvriers",39545
"Population – De 25 à 54 ans x Professions intermédiaires",39527
"Nombre de personnes seules – De 25 à 39 ans",39250
"Population – De 25 à 54 ans x Chômeur x Femme",39025
"Logements – Personne référence du ménage x Professions intermédiaires",38904
"Logements – Personne référence du ménage x Employés",38785
"Population – 15 ans ou plus x Professions intermédiaires x Femme",38774
"Population – De 15 à 64 ans x Chômeur x CAP, BEP ou diplôme de niveau équivalent",38646
"Population – Salariés x De 15 à 64 ans x Homme x Temps partiel",38642
"Population – 15 ans ou plus x Homme x Contrat à durée déterminée (CDD)",38520
"Nombre d’emplois – Femme",38435
"Population – De 15 à 24 ans  x Actif occupé x Femme",38397
"Population – De 25 à 54 ans x Chômeur x Homme",38351
"Population – 15 ans ou plus x Autres inactifs x Femme",38267
"Population – Salariés x De 55 à 64 ans x Femme x Temps partiel",38193
"Population – Salariés x De 15 à 24 ans  x Femme",38135
"Population – 15 ans ou plus x Non Salariés x Temps partiel",37941
"Population – Marche à pied",37871
"Population – 15 ans ou plus x Professions intermédiaires x Homme",37792
"Population – De 15 à 64 ans x Chômeur x Baccalauréat, brevet professionnel ou équivalent",37594
"Population – De 15 à 24 ans  x Autres inactifs",37436
"Population – 15 ans ou plus x Femme x Employeurs",37160
"Population – 15 ans ou plus x Autres inactifs x Homme",36445
"Population – De 55 à 64 ans x Chômeur",36351
"Population – De 15 à 24 ans  x Chômeur",36090
"Population – De 25 à 54 ans x Cadres et professions intellectuelles supérieures",35108
"Nombre d’électeurs – France x Élection européenne",35090
"Nombre d’électeurs – France x Élection présidentielle",35042
"Nombre d’électeurs – France x Élections départementale et régionale",35042
"Logements – Personne référence du ménage x Cadres et professions intellectuelles supérieures",34915
"Population – 15 ans ou plus x Homme x Apprentissage, stage",34702
"Population – 15 ans ou plus x Artisans, commerçants et chefs d’entreprise x Homme",34676
"Logements – Personne référence du ménage x Artisans, commerçants et chefs d’entreprise",34581
"Population – Salariés x De 25 à 54 ans x Homme x Temps partiel",34535
"Population – Transport en commun",34399
"Population – De 25 à 54 ans x Artisans, commerçants et chefs d’entreprise",34296
"Population – 55 ans ou plus x Employés",34090
"Population – 15 ans ou plus x Cadres et professions intellectuelles supérieures x Homme",33981
"Population – De 15 à 64 ans x Chômeur x Aucun diplôme ou certificat d'études primaires",33892
"Population – 15 ans ou plus x Ouvriers x Femme",33721
"Population – 15 ans ou plus x Employés x Homme",33489
"Population – De 25 à 54 ans x Autres inactifs",33095
"Nombre d’emplois – Femme x Administration publique, enseignement, santé humaine et action sociale",32958
"Population – 55 ans ou plus x Ouvriers",32805
"Population – De 15 à 24 ans  x Chômeur x Homme",32788
"Population – De 15 à 64 ans x Chômeur x Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme",32678
"Population – 15 ans ou plus x Cadres et professions intellectuelles supérieures x Femme",32567
"Population – 15 ans ou plus x Homme x Intérim",32468
"Nombre d’emplois – Salariés x Femme x Administration publique, enseignement, santé humaine et action sociale",32420
"Population – De 55 à 64 ans x Chômeur x Femme",32261
"Nombre d’emplois – Femme x Services principalement marchands",32184
"Population – 55 ans ou plus x Autres inactifs",31993
"Population – 55 ans ou plus x Professions intermédiaires",31937
"Population – De 55 à 64 ans x Chômeur x Homme",31446
"Population – Deux-roues motorisé",31321
"Nombre d’emplois – Non Salariés x Services principalement marchands",31069
"Population – De 15 à 24 ans  x Ouvriers",31052
"Population – De 15 à 24 ans  x Chômeur x Femme",31000
"Nombre de famille – Famille recomposée",30953
"Population – Salariés x De 15 à 24 ans  x Femme x Temps partiel",30527
"Population – 15 ans ou plus x Femme x Apprentissage, stage",30408
"Population – Salariés x De 55 à 64 ans x Homme x Temps partiel",30341
"Nombre de nouveaux établissements enregistrés – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",30179
"Nombre d’emplois – Non Salariés x Agriculture, sylviculture et pêche",29986
"Nombre de nouveaux établissements enregistrés – Commerce de gros et de détail, transports, hébergement et restauration",29893
"Population – Salariés x De 15 à 24 ans  x Homme x Temps partiel",29739
"Nombre de nouvelles unités légales enregistrées – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",29492
"Nombre de nouvelles unités légales enregistrées – Commerce de gros et de détail, transports, hébergement et restauration",29146
"Nombre d’emplois – Salariés x Femme x Services principalement marchands",29010
"Population – De 15 à 64 ans x Chômeur x BEPC, brevet élémentaire, brevet des collèges, DNB",28959
"Population – De 15 à 64 ans x Chômeur x Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4",28953
"Nombre de nouveaux établissements enregistrés – Industrie manufacturière, industries extractives et autres",28942
"Population – Vélo",28911
"Nombre de personnes seules – De 15 à 24 ans ",28676
"Population – 15 ans ou plus x Agriculteurs x Homme",28533
"Population – 15 ans ou plus x Artisans, commerçants et chefs d’entreprise x Femme",28506
"Population – De 15 à 24 ans  x Employés",28471
"Logements – Personne référence du ménage x Agriculteurs",28096
"Population – 55 ans ou plus x Cadres et professions intellectuelles supérieures",27957
"Population – 1 an ou plus x Hors de la région dans un DOM",27672
"Population – 15 ans ou plus x Femme x Intérim",27669
"Nombre de nouvelles unités légales enregistrées – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien x Entrepreneur individuel",27639
"Logements – Résidences principales x De 1971 à 1990 x Autres logements de métropole",27371
"Nombre de nouvelles unités légales enregistrées – Commerce de gros et de détail, transports, hébergement et restauration x Entrepreneur individuel",27322
"Population – 55 ans ou plus x Artisans, commerçants et chefs d’entreprise",27160
"Population – De 15 à 64 ans x Chômeur x Diplôme de niveau bac + 5 ou plus",26765
"Logements – Résidences principales x De 1991 à 2005 x Autres logements de métropole",25996
"Nombre de nouvelles unités légales enregistrées – Industrie manufacturière, industries extractives et autres",25851
"Population – De 25 à 54 ans x Agriculteurs",25587
"Nombre de nouveaux établissements enregistrés – Autres activités de services",25514
"Nombre d’emplois – Non Salariés x Femme x Services principalement marchands",25055
"Nombre de nouvelles unités légales enregistrées – Autres activités de services",24891
"Nombre d’emplois – Non Salariés x Construction",24887
"Salaire net EQTP mensuel moyen – Ouvriers",24714
"Salaire net EQTP mensuel moyen – Femme x Cadres y compris chefs d’entreprises",24714
"Salaire net EQTP mensuel moyen – Homme x Employés",24714
"Salaire net EQTP mensuel moyen – De 25 à 39 ans",24714
"Salaire net EQTP mensuel moyen – Moins de 25 ans",24714
"Salaire net EQTP mensuel moyen – Homme x 55 ans ou plus",24714
"Salaire net EQTP mensuel moyen – Femme x Ouvriers",24714
"Salaire net EQTP mensuel moyen – Homme x Ouvriers",24714
"Salaire net EQTP mensuel moyen – Femme x Professions intermédiaires",24714
"Salaire net EQTP mensuel moyen – Homme x Cadres y compris chefs d’entreprises",24714
"Salaire net EQTP mensuel moyen – Homme x Professions intermédiaires",24714
"Salaire net EQTP mensuel moyen – Homme x Moins de 25 ans",24714
"Salaire net EQTP mensuel moyen – Femme x De 40 à 49 ans",24714
"Salaire net EQTP mensuel moyen – Homme x De 25 à 39 ans",24714
"Salaire net EQTP mensuel moyen – Femme x Employés",24714
"Salaire net EQTP mensuel moyen – Employés",24714
"Salaire net EQTP mensuel moyen – Homme x De 40 à 49 ans",24714
"Salaire net EQTP mensuel moyen – 55 ans ou plus",24714
"Salaire net EQTP mensuel moyen – Femme x De 50 à 54 ans",24714
"Salaire net EQTP mensuel moyen – Femme x Moins de 25 ans",24714
"Salaire net EQTP mensuel moyen – Cadres y compris chefs d’entreprises",24714
"Salaire net EQTP mensuel moyen – Femme x De 25 à 39 ans",24714
"Salaire net EQTP mensuel moyen – Homme x De 50 à 54 ans",24714
"Salaire net EQTP mensuel moyen – De 50 à 54 ans",24714
"Salaire net EQTP mensuel moyen – De 40 à 49 ans",24714
"Salaire net EQTP mensuel moyen – Professions intermédiaires",24714
"Salaire net EQTP mensuel moyen – Femme x 55 ans ou plus",24714
"Nombre de nouvelles unités légales enregistrées – Industrie manufacturière, industries extractives et autres x Entrepreneur individuel",24597
"Nombre de nouvelles unités légales enregistrées – Autres activités de services x Entrepreneur individuel",24420
"Population – De 15 à 24 ans  x Professions intermédiaires",24227
"Logements – Résidences principales x De 2006 à AAAA x Autres logements de métropole",24196
"Logements – Résidences principales x Avant 1919 x Autres logements de métropole",23739
"Nombre d'équipements – Coiffure",22943
"Nombre de nouveaux établissements enregistrés – Construction",22928
"Nombre d’emplois – Femme x Agriculture, sylviculture et pêche",22347
"Nombre de nouveaux établissements enregistrés – Administration publique, enseignement, santé humaine et action sociale",22227
"Nombre de nouvelles unités légales enregistrées – Construction",22098
"Logements – Résidences principales x De 1946 à 1970 x Autres logements de métropole",21916
"Nombre de nouvelles unités légales enregistrées – Administration publique, enseignement, santé humaine et action sociale",21537
"Nombre d’emplois – Femme x Industrie manufacturière, industries extractives et autres",21284
"Nombre de nouvelles unités légales enregistrées – Administration publique, enseignement, santé humaine et action sociale x Entrepreneur individuel",21134
"Nombre d'équipements – Bibliothèque",20927
"Population – 55 ans ou plus x Agriculteurs",20677
"Nombre d'équipements – École primaire",20659
"Nombre d’emplois – Non Salariés x Administration publique, enseignement, santé humaine et action sociale",20164
"Population – 15 ans ou plus x Femme x Emplois-jeunes, CES, contrats de qualif.",19697
"Nombre d'équipements – Boulangerie-pâtisserie",19647
"Nombre d’emplois – Salariés x Femme x Industrie manufacturière, industries extractives et autres",19472
"Nombre de nouvelles unités légales enregistrées – Construction x Entrepreneur individuel",19305
"Nombre d’emplois – Non Salariés x Industrie manufacturière, industries extractives et autres",19069
"Nombre d'équipements – Infirmier",18656
"Nombre de nouveaux établissements enregistrés – Activités immobilières",18536
"Nombre d’emplois – Non Salariés x Femme x Administration publique, enseignement, santé humaine et action sociale",18270
"Population – 15 ans ou plus x Agriculteurs x Femme",18000
"Nombre d’emplois – Non Salariés x Femme x Agriculture, sylviculture et pêche",17792
"Population – 15 ans ou plus x Homme x Emplois-jeunes, CES, contrats de qualif.",17605
"Population – 15 ans ou plus x Femme x Aides familiaux",17257
"Nombre de nouvelles unités légales enregistrées – Activités immobilières",16946
"Nombre de nouveaux établissements enregistrés – Information et communication",16936
"Nombre de nouvelles unités légales enregistrées – Information et communication",16622
"Nombre d'équipements – Masseur kinésithérapeute",16484
"Logements – Résidences principales x De 1919 à 1945 x Autres logements de métropole",16087
"Nombre d’emplois – Femme x Construction",15777
"Nombre d'équipements – Médecin généraliste",15753
"Nombre de nouvelles unités légales enregistrées – Information et communication x Entrepreneur individuel",15666
"Nombre de nouvelles unités légales enregistrées – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien x Société par actions simplifiée",15624
"Nombre d'équipements – Pharmacie",15084
"Nombre de nouvelles unités légales enregistrées – Commerce de gros et de détail, transports, hébergement et restauration x Société par actions simplifiée",14918
"Nombre d’emplois – Salariés x Femme x Construction",14805
"Nombre d'équipements – École élémentaire",14443
"Nombre d’emplois – Salariés x Femme x Agriculture, sylviculture et pêche",14237
"Nombre de nouveaux établissements enregistrés – Activités financières et d'assurance",14232
"Nombre d'équipements – Épicerie",14111
"Nombre de nouvelles unités légales enregistrées – Activités financières et d'assurance",13944
"Nombre de nouvelles unités légales enregistrées – Activités immobilières x Entrepreneur individuel",13699
"Nombre d'équipements – Station de recharge de véhicules électriques",13598
"Population – 15 ans ou plus x Homme x Aides familiaux",13402
"Nombre de nouvelles unités légales enregistrées – Commerce de gros et de détail, transports, hébergement et restauration x Société à responsabilité limitée (SARL)",12622
"Nombre d’emplois – Non Salariés x Femme x Industrie manufacturière, industries extractives et autres",12445
"Nombre d'équipements – Chirurgien dentiste",12316
"Nombre d'équipements – Psychologue",12257
"Nombre d'équipements – Station-service",12056
"Nombre d'équipements – École maternelle",11745
"Nombre de nouvelles unités légales enregistrées – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien x Société à responsabilité limitée (SARL)",11623
"Nombre d'équipements – Supermarché et magasin multi-commerce",11278
"Population – De 15 à 24 ans  x Cadres et professions intellectuelles supérieures",11239
"Nombre de nouvelles unités légales enregistrées – Activités financières et d'assurance x Société par actions simplifiée",10362
"Nombre de nouvelles unités légales enregistrées – Construction x Société à responsabilité limitée (SARL)",10227
"Nombre de nouvelles unités légales enregistrées – Construction x Société par actions simplifiée",10169
"Nombre d'équipements – Collège",10059
"Population – De 15 à 24 ans  x Artisans, commerçants et chefs d’entreprise",9831
"Nombre de nouvelles unités légales enregistrées – Activités immobilières x Société par actions simplifiée",9757
"Population – De 25 à 54 ans x Retraités",9686
"Nombre de nouvelles unités légales enregistrées – Industrie manufacturière, industries extractives et autres x Société par actions simplifiée",9011
"Nombre de nouvelles unités légales enregistrées – Autres activités de services x Société par actions simplifiée",7753
"Nombre d’emplois – Non Salariés x Femme x Construction",7128
"Nombre d'équipements – Supérette",6902
"Nombre de nouvelles unités légales enregistrées – Information et communication x Société par actions simplifiée",6849
"Nombre de nouvelles unités légales enregistrées – Activités immobilières x Société à responsabilité limitée (SARL)",6459
"Nombre de nouvelles unités légales enregistrées – Activités financières et d'assurance x Entrepreneur individuel",6424
"Nombre de nouvelles unités légales enregistrées – Autres activités de services x Société à responsabilité limitée (SARL)",5995
"Nombre de nouvelles unités légales enregistrées – Activités financières et d'assurance x Société à responsabilité limitée (SARL)",5918
"Nombre de nouvelles unités légales enregistrées – Industrie manufacturière, industries extractives et autres x Société à responsabilité limitée (SARL)",5734
"Nombre de nouvelles unités légales enregistrées – Activités financières et d'assurance x Autres sociétés",5485
"Nombre de nouvelles unités légales enregistrées – Administration publique, enseignement, santé humaine et action sociale x Société par actions simplifiée",5214
"Nombre d'équipements – Hypermarché et grand magasin",5148
"Nombre de nouvelles unités légales enregistrées – Administration publique, enseignement, santé humaine et action sociale x Société à responsabilité limitée (SARL)",4927
"Population – De 15 à 24 ans  x Agriculteurs",4804
"Nombre d'équipements – Lycée d’enseignement général et/ou technologique",4627
"Nombre de nouvelles unités légales enregistrées – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien x Autres sociétés",4267
"Nombre de nouvelles unités légales enregistrées – Information et communication x Société à responsabilité limitée (SARL)",3455
"Nombre d'équipements – Lycée d’enseignement technique et/ou professionnel agricole",3292
"Nombre d'équipements – Lycée d’enseignement professionnel",3273
"Nombre de nouvelles unités légales enregistrées – Construction x Autres sociétés",3155
"Logements – Non",3020
"Logements – Oui",3005
"Nombre de nouvelles unités légales enregistrées – Commerce de gros et de détail, transports, hébergement et restauration x Autres sociétés",2959
"Nombre d'équipements – Sep section d’enseignement professionnel",2552
"Nombre de nouvelles unités légales enregistrées – Activités immobilières x Autres sociétés",2238
"Nombre de nouvelles unités légales enregistrées – Administration publique, enseignement, santé humaine et action sociale x Autres sociétés",2154
"Nombre de nouvelles unités légales enregistrées – Autres activités de services x Autres sociétés",1310
"Nombre de nouvelles unités légales enregistrées – Industrie manufacturière, industries extractives et autres x Autres sociétés",856
"Logements – Résidences principales x Hors logement ordinaire ou hors métropole",759
"Logements – Evacuation des eaux usées à même le sol",756
"Logements – Aucun point d'eau ou eau froide seulement",756
"Logements – Maisons ou immeubles en bois",755
"Logements – Raccordement à une fosse septique",755
"Logements – Maisons ou immeubles en dur",752
"Logements – Eau froide et chaude",751
"Logements – Habitation de fortune",749
"Logements – Cases traditionnelles",747
"Logements – Raccordement au réseau d'égouts",747
"Logements – Raccordement à un puisard",747
"Nombre d'équipements – Sgt section d’enseignement général et technologique",560
"Nombre de nouvelles unités légales enregistrées – Information et communication x Autres sociétés",428
